filed (Year filed),end (Year end),host (Host state ISO3),caseno (Case no.),parties (Parties to arbitration),direct,execrlc,execrlc_dummy,execrlc_count,home (Home state ISO3),winner,settled,partisan,execnat,home2 (Home state2 ISO3),home3 (Home state3 ISO3),home4 (Home state4 ISO3),home5 (Home state5 ISO3),venue (Venue or rules adopted),legal (Legal doc. invoked),invsttype (Text on investment type),sector (Sector 3-letter code),asought_text (Text on award sought),"asought_usm (Award sought in US$m, exchange rate at time of filing, less interest/costs)",concluded (Arbitration concluded),ainvst_text (Text on award to investor),"ainvst_usm (Award to investor in US$m, not including costs/interest)",annul (Annulment filed),annul_filed (Year annulment filed),annul_end (Year annulment ends),annulstatus (Status of annulment)
1987,1990,LKA,ARB/87/3,Asian Agricultural Products Ltd. (AAPL) v. Republic of Sri Lanka,0,2,NA,1,GBR,investor,0,,0,n.a.,n.a.,n.a.,n.a.,ICSID,Sri Lanka-United Kingdom BIT,Agricultural enterprise (fishing),AGR,US$8m,8,yes,0.46m,0.46,no,n.a.,n.a.,n.a.
1992,1994,BGD,ARB/92/2,"Scimitar Exploration Limited v. Bangladesh and Bangladesh Oil, Gas and Mineral Corporation",NA,0,NA,NA,GBR,state,0,,1,n.a.,n.a.,n.a.,n.a.,ICSID,UK-Bangladesh BIT,Oil and gas (exploration),OIL,US$25000000,25,yes,0,0,no,n.a.,n.a.,n.a.
1992,1994,GHA,ARB/92/1,Vacuum Salt Products Ltd. v. Republic of Ghana,0,3,1,2,GRC,state,0,,0,n.a.,n.a.,n.a.,n.a.,ICSID,Contract with host state,Mining (salt),MIN,"unknown (""damages, lost profits, and interest"")",unknown,yes,0,0,no,n.a.,n.a.,n.a.
1994,1995,POL,n.a.,Saar Papier v. Poland (1st case),0,0,NA,NA,DEU,investor,0,,0,n.a.,n.a.,n.a.,n.a.,UNCITRAL,Germany-Poland BIT,Waste paper enterprise,MFG,unknown,unknown,yes,DM2.3m plus interest; Respondent to pay cost of arbitration,1.4,n.a.,n.a.,n.a.,n.a.
1994,1996,MDG,CONC/94/1,SEDITEX Engineering Beratungsgesellschaft fur dieTextilindustrie m.b.H. v. Madagascar,NA,0,NA,NA,DEU,settlement,1,,0,n.a.,n.a.,n.a.,n.a.,ICSID CR,Contract with host state,Textile enterprise,MFG,unknown,unknown,yes,settlement,settlement,n.a.,n.a.,n.a.,n.a.
1994,1996,MYS,ARB/94/1,Philippe Gruslin v. Malaysia,NA,0,NA,NA,BELLUX,settlement,1,,0,n.a.,n.a.,n.a.,n.a.,ICSID,Belgium & Luxembourg-Malaysia BIT,Finance (securities),FIN,unknown,unknown,yes,settlement,settlement,n.a.,n.a.,n.a.,n.a.
1996,1996,POL,n.a.,France Telecom v. Poland,NA,3,1,2,FRA,settlement,1,,0,n.a.,n.a.,n.a.,n.a.,UNCITRAL,France-Poland BIT,Telecommunications (mobile),TEL,Approximately US$500m,500,yes,settlement,settlement,n.a.,n.a.,n.a.,n.a.
1996,1996,POL,n.a.,Ameritech v. Poland,NA,3,1,2,USA,settlement,1,,0,n.a.,n.a.,n.a.,n.a.,UNCITRAL,Poland-United States BIT,Telecommunications (mobile),TEL,Approximately US$500m,500,yes,settlement,settlement,n.a.,n.a.,n.a.,n.a.
1995,1997,ALB,ARB/95/1,Leaf Tobacco A. Michaelides SA and Greek-Albanian Leaf Tobacco & Co. SA v. Republic of Albania,NA,1,0,0,GRC,settlement,1,,0,n.a.,n.a.,n.a.,n.a.,ICSID,Albania-Greece BIT,"Manufacturing (cigarettes, tobacco)",MFG,unknown,unknown,yes,settlement,settlement,n.a.,n.a.,n.a.,n.a.
1995,1997,KNA,ARB/95/2,"Cable Television of Nevis, Ltd. and Cable Television of Nevis Holdings, Ltd. v. Federation of St. Kitts and Nevis",0,n.a.,NA,NA,USA,state,0,,NA,n.a.,n.a.,n.a.,n.a.,ICSID,Contract with host state,Broadcasting enterprise (television),TEL,unknown,unknown,yes,0,0,no,n.a.,n.a.,n.a.
1997,1997,COG,ARB/97/2,Societe Kufpec (Congo) Limited v. Republic of Congo,0,3,1,2,GBR,settlement,1,,0,KWT,n.a.,n.a.,n.a.,ICSID,other (as coded by ICSID),Oil and gas,OIL,unknown,unknown,yes,settlement,settlement,n.a.,n.a.,n.a.,n.a.
1993,1997,ZAR,ARB/93/1,American Manufacturing and Trading v. Zaire (DRC),0,0,NA,NA,USA,investor,0,,0,n.a.,n.a.,n.a.,n.a.,ICSID,Congo (Democratic Republic of)-United States BIT,Manufacturing (batteries) and Import/Export (foodstuffs and consumer goods),MFG,US$14.3m plus interest,14.3,yes,"US$9m, plus interest (at 7.5% per annum in default of payment). Each party to pay their legal costs and split the costs of arbitration.",9,no,n.a.,n.a.,n.a.
1997,1998,GRD,ARB/97/5,WRB Enterprises & Grenada Private Power Limited v. Grenada,NA,1,0,0,USA,settlement,1,,0,n.a.,n.a.,n.a.,n.a.,ICSID,Contract with host state,Electric power concession,UTL,unknown,unknown,yes,settlement,settlement,n.a.,n.a.,n.a.,n.a.
1997,1998,CAN,n.a.,Ethyl Corp v. Canada,0,3,1,2,USA,settlement,1,,0,n.a.,n.a.,n.a.,n.a.,UNCITRAL,NAFTA,Manufacturing (MMT gasoline additive),MFG,"Not less than US$251m, plus interest",251,yes,settlement,settlement,n.a.,n.a.,n.a.,n.a.
1995,1998,BDI,ARB/95/3,Antoine Goetz et al v. Burundi,0,0,NA,NA,BELLUX,settlement,1,,0,n.a.,n.a.,n.a.,n.a.,ICSID,Belgium & Luxembourg-Burundi BIT,Mining,MIN,Approximately US$175m,175,yes,settlement,settlement,n.a.,n.a.,n.a.,n.a.
1996,1998,VEN,ARB/96/3,FEDAX NV v. Republic of Venezuela,0,0,NA,NA,NLD,investor,0,,0,n.a.,n.a.,n.a.,n.a.,ICSID,Netherlands-Venezuela BIT,Finance (debt instruments),FIN,US$589950 plus interest,0.6,yes,"US$598,950 (as principal of the promissory notes) and US$161,254.14 (as regular and penal interest). Each party to pay their legal costs, Respondent to pay half of Claimant's cost of arbitration",0.8,no,n.a.,n.a.,n.a.
1995,1998,RUS,n.a.,Mr. Franz Sedelmayer vs. Russian Federation,1,0,NA,NA,DEU,investor,0,,0,n.a.,n.a.,n.a.,n.a.,SCC,German-Russian Federation treaty,Security services,SER,US$7649637.61,7.6,yes,"US$2350000 (each party to pay their legal costs, Respondent to pay part of Claimant's legal costs)",2.4,n.a.,n.a.,n.a.,n.a.
1998,1999,IDN,n.a.,Himpurna Califonia v. Indonesia,NA,0,NA,NA,USA,investor,0,,0,n.a.,n.a.,n.a.,n.a.,UNCITRAL,Contract with host state,Electric power concession,UTL,US$315046166,315,yes,Tribunal revised downward due to pre-contractual expenditures; US$273757306,273.8,n.a.,n.a.,n.a.,n.a.
1994,1999,ALB,ARB/94/2,Tradex Hellas SA v. Republic of Albania,0,3,1,2,GRC,state,0,,0,n.a.,n.a.,n.a.,n.a.,ICSID,"Albania-Greece BIT, Albania Investment Law (1993)",Agricultural enterprise,AGR,US$3107074 plus interest and costs,3.1,yes,0,0,no,n.a.,n.a.,n.a.
1999,1999,ARG,ARB/99/1,Mobil Argentina SA v. Argentine Republic,0,1,0,0,USA,Discontinued,NA,,1,n.a.,n.a.,n.a.,n.a.,ICSID,United States-Argentina BIT,Oil and gas,OIL,unknown,unknown,yes,settlement,settlement,n.a.,n.a.,n.a.,n.a.
1996,1999,KAZ,97/1996,"Biedermann International, Inc. v. Kazakhstan",0,2,NA,1,USA,investor,0,,0,n.a.,n.a.,n.a.,n.a.,SCC,Kazakhstan-United States BIT,Oil and gas,OIL,unknown,unknown,yes,US$8.89m,8.9,n.a.,n.a.,n.a.,n.a.
1997,1999,MEX,ARB(AF)/97/2,"Robert Azinian, et al v. United Mexican States",0,2,NA,1,USA,state,0,,0,n.a.,n.a.,n.a.,n.a.,ICSID AF,"NAFTA, Contract",Waste management,SER,Up to US$19.2m,19.2,yes,0,0,no,n.a.,n.a.,n.a.
1997,2000,CIV,ARB/97/8,Compagnie Fran??aise pour le Developpement des Fibres Textiles v. Cote d'Ivoire,NA,0,NA,NA,FRA,settlement,1,,0,n.a.,n.a.,n.a.,n.a.,ICSID,Contract with host state,Textile enterprise,MFG,unknown,unknown,yes,settlement,settlement,n.a.,n.a.,n.a.,n.a.
1997,2000,ESP,ARB/97/7,Emilio Agustin Maffezini v. Kingdom of Spain,0,1,0,0,ARG,investor,0,,0,n.a.,n.a.,n.a.,n.a.,ICSID,Argentina-Spain BIT,Manufacturing (chemical products),MFG,"Spanish Pesetas 30m, plus interest",0.1,yes,"Spanish Pesetas 30 million awarded plus interest 27,641,265.28. Total award was 57,641,265.28 Spanish Pesetas (equivalent to US$96,597), each party to pay their legal fees",0.05,no,n.a.,n.a.,n.a.
1999,2000,HND,ARB/99/8,Astaldi SpA & Columbus Latinoamericana de Construcciones SA v. Republic of Honduras,NA,1,0,0,ITA,investor,0,,0,PAN,n.a.,n.a.,n.a.,ICSID,Contract with host state,Highway construction project,UTL,unknown,unknown,yes,settlement,settlement,n.a.,n.a.,n.a.,n.a.
1998,2000,UKR,ARB(AF)/98/1,Joseph Charles Lemire v. Ukraine,NA,2,NA,1,USA,settlement,1,,0,n.a.,n.a.,n.a.,n.a.,ICSID AF,Ukraine-United States BIT,Broadcasting enterprise (radio),TEL,unknown,unknown,yes,settlement,settlement,n.a.,n.a.,n.a.,n.a.
1999,2000,LVA,n.a.,Swembalt AB v. Latvia,0,1,0,0,SWE,investor,0,,1,n.a.,n.a.,n.a.,n.a.,UNCITRAL,Latvia-Sweden BIT,Salvage,SER,US$2806258 plus interest and costs,2.8,yes,"US$2,506,235 awarded plus 10% annual interest starting 9 Apr 1999; legal fees unclear; Award unsuccessfully challenged in Swedish courts",2.5,n.a.,n.a.,n.a.,n.a.
1996,2000,CRI,ARB/96/1,Compania del Desarrollo de Santa Elena SA v. Republic of Costa Rica,0,1,0,0,USA,investor,0,,0,n.a.,n.a.,n.a.,n.a.,ICSID,Contract with host state,Real estate,RE,US$41200000,41.2,yes,"US$16m, each party to pay the costs of arbitration",16,no,n.a.,n.a.,n.a.
1996,2000,TKM,9151/FMS/KGA,Joint Venture Yashlar & Bridas SAIPIC v. Turkmenistan,0,3,1,2,ARG,investor,0,,0,n.a.,n.a.,n.a.,n.a.,ICC,Contract with host state,Oil and gas (exploration),OIL,US$247m,247,yes,"US$1758330, legal fees not specified",1.8,no,n.a.,n.a.,n.a.
1998,2000,ZAR,ARB/98/7,"Banro American Resources, Inc. and Societe Aurif??re du Kivu et du Maniema S.A.R.L. v. Democratic Republic of the Congo",0,1,0,0,CAN,state,0,,0,n.a.,n.a.,n.a.,n.a.,ICSID,Congo (Democratic Republic of) Mining Law,Mining (gold),MIN,unknown,unknown,yes,0,0,no,n.a.,n.a.,n.a.
1997,2000,ARG,ARB/97/6,Lanco International Inc v. Argentine Republic,0,2,NA,1,USA,Discontinued,NA,,0,n.a.,n.a.,n.a.,n.a.,ICSID,Argentina-United States BIT,Port terminal concession,SER,US$23m,23,yes,settlement,settlement,n.a.,n.a.,n.a.,n.a.
1997,2000,BFA,ARB/97/1,Societe d'Investigation de Recherche et d'Exploitation Mini??re v. Burkina Faso,0,1,0,0,FRA,state,0,,0,n.a.,n.a.,n.a.,n.a.,ICSID,Contract with host state,Mining (gold),MIN,unknown,unknown,yes,0,0,no,n.a.,n.a.,n.a.
1998,2000,EGY,ARB/98/4,Wena Hotels Ltd. v. Egypt,0,0,NA,NA,GBR,investor,0,,0,n.a.,n.a.,n.a.,n.a.,ICSID,Egypt-United Kingdom BIT,Tourism (hotel),SER,Not less than US$62820000,62.8,yes,"US$20600986.43 including damages, interest, attorneys' fees and expenses",20.6,yes,2001,2002,upheld
1997,2000,MEX,ARB(AF)/97/1,Metalclad v. United Mexican States,0,2,NA,1,USA,investor,0,,0,n.a.,n.a.,n.a.,n.a.,ICSID AF,NAFTA,Waste management (hazardous),UTL,"US$90m and US$20-25m in interest, or US$20-25m and US$20-25m in interest (investor proposes two alternative methods for calculating damages)",20,yes,"US$16685000 including interest (6% compounded annually for approximately 5 years), parties pay their own legal fees and split cost of arbitration",16.7,no,n.a.,n.a.,n.a.
1998,2000,MEX,ARB(AF)/98/2,Waste Management v. United Mexican States (1st case),0,2,NA,1,USA,state,0,,0,n.a.,n.a.,n.a.,n.a.,ICSID AF,NAFTA,Waste management,SER,"Not less than US$36m, plus costs",36,yes,0,0,no,n.a.,n.a.,n.a.
1999,2000,MYS,ARB/99/3,Phillipe Gruslin v. Malaysia,0,0,NA,NA,BELLUX,state,0,,0,n.a.,n.a.,n.a.,n.a.,ICSID,Belgium & Luxembourg-Malaysia BIT,Finance (securities),FIN,Approximately US$1.2m,1.2,yes,0,0,yes,2000,2001,discontinued
2001,2001,ARE,ARB/01/1,"Impregilo, S.p.A & Rizzani De Eccher S.p.A. v. United Arab Emirates",NA,0,NA,NA,ITA,settlement,1,,0,n.a.,n.a.,n.a.,n.a.,ICSID,Italy-United Arab Emirates BIT,Real estate (mosque),RE,unknown,unknown,yes,settlement,settlement,n.a.,n.a.,n.a.,n.a.
1999,2001,ARG,ARB/99/4,Empresa Nacional de Electricidad SA v. Argentine Republic,NA,2,NA,1,CHL,Discontinued,NA,,0,n.a.,n.a.,n.a.,n.a.,ICSID,Chile-Argentina BIT,Electric power concession (hydro),UTL,unknown,unknown,yes,settlement,settlement,n.a.,n.a.,n.a.,n.a.
1998,2001,ARG,ARB/98/1,"Houston Industries Energy Inc., et al v. Argentine Republic",NA,2,NA,1,USA,unknown,NA,,0,n.a.,n.a.,n.a.,n.a.,ICSID,United States-Argentina BIT,Electric power concession,UTL,US$1.1m for tariff compensation and US$1.5m for increased fuel costs,2.6,yes,unknown,unknown,no,n.a.,n.a.,n.a.
1998,2001,PER,ARB/98/6,Compagnie Mini??re Internationale Or S.A. v. Republic of Peru,NA,1,0,0,FRA,settlement,1,,0,n.a.,n.a.,n.a.,n.a.,ICSID,France-Peru BIT,Mining (gold),MIN,unknown,unknown,yes,settlement,settlement,n.a.,n.a.,n.a.,n.a.
1996,2001,PNG,ARB/96/2,Misima Mines Pty. Ltd. v. Independent State of Papua New Guinea,NA,1,0,0,AUS,Discontinued,NA,,0,n.a.,n.a.,n.a.,n.a.,ICSID,other (as coded by ICSID),Mining,MIN,unknown,unknown,yes,settlement,settlement,n.a.,n.a.,n.a.,n.a.
1996,2001,POL,n.a.,Saar Papier v. Poland (2nd case),NA,3,1,2,DEU,state,0,,0,n.a.,n.a.,n.a.,n.a.,UNCITRAL,Germany-Poland BIT,Waste paper enterprise,MFG,unknown,unknown,yes,0,0,n.a.,n.a.,n.a.,n.a.
2000,2001,RUS,n.a.,UK Bank v. Russian Federation,NA,0,NA,NA,GBR,settlement,1,,0,n.a.,n.a.,n.a.,n.a.,SCC,Russian Federation-United Kingdom BIT,Finance (debt instruments),FIN,unknown,unknown,yes,settlement,settlement,n.a.,n.a.,n.a.,n.a.
1999,2001,CZE,n.a.,Ronald Lauder v. Czech Republic,0,3,1,2,USA,state,0,,0,n.a.,n.a.,n.a.,n.a.,UNCITRAL,Czech Republic-United States BIT,Broadcasting enterprise,TEL,unknown,unknown,yes,0,0,n.a.,n.a.,n.a.,n.a.
1998,2001,TZA,ARB/98/8,Tanzania Electric Supply Company Limited v. Independent Power Tanzania Limited,0,3,1,2,MYS,state,0,,0,n.a.,n.a.,n.a.,n.a.,ICSID,Contract with host state,Electric power concession,UTL,US$23670266.67,23.7,yes,0,0,no,n.a.,n.a.,n.a.
1999,2001,EST,ARB/99/2,"Alex Genin, Eastern Credit Limited Inc v. Republic of Estonia",0,1,0,0,USA,state,0,,0,n.a.,n.a.,n.a.,n.a.,ICSID,US-Estonia BIT,Banking,FIN,"Enumerated two claims: US$1639344, and between US$50m and US$70m for damages",51.6,yes,0,0,no,n.a.,n.a.,n.a.
1998,2001,PRY,ARB/98/5,Eudoro Armando Olguin v. Republic of Paraguay,0,1,0,0,PER,state,0,,0,n.a.,n.a.,n.a.,n.a.,ICSID,Paraguay-Peru BIT,Manufacturing (foodstuffs),MFG,"Paraguayan Guarani 2407057500, plus interest",1.3,yes,0,0,no,n.a.,n.a.,n.a.
2001,2002,HUN,ARB/01/4,AES Summit Generation Ltd. v. Hungary,NA,3,1,2,GBR,settlement,1,,0,n.a.,n.a.,n.a.,n.a.,ICSID,"Hungary-United Kingdom BIT, Energy Charter Treaty",Electric power concession,UTL,unknown,unknown,yes,settlement,settlement,n.a.,n.a.,n.a.,n.a.
2002,2002,PAK,ARB/02/2 [See ARB/03/3],Impregilo SpA v. Islamic Republic of Pakistan,NA,0,NA,NA,ITA,Discontinued,NA,,0,n.a.,n.a.,n.a.,n.a.,ICSID,Italy-Pakistan BIT,Electric power concession (hydro),UTL,unknown,unknown,yes,settlement,settlement,n.a.,n.a.,n.a.,n.a.
1999,2002,MDA,n.a.,Link Trading v. Moldova,0,3,1,2,USA,state,0,,0,n.a.,n.a.,n.a.,n.a.,UNCITRAL,Moldova-United States BIT,Import/export (consumer products),SER,US$3458813.25,3.5,yes,0,0,n.a.,n.a.,n.a.,n.a.
1998,2002,CAN,n.a.,S.D. Myers Inc. v. Canada,0,3,1,2,USA,investor,0,,0,n.a.,n.a.,n.a.,n.a.,UNCITRAL,NAFTA,Import/Export (PCB waste),SER,US$53m,53,yes,"CAD6050000, plus interest",3.9,n.a.,n.a.,n.a.,n.a.
1999,2002,CAN,n.a.,Pope & Talbot v. Canada,0,3,1,2,USA,investor,0,,0,n.a.,n.a.,n.a.,n.a.,UNCITRAL,NAFTA,Agricultural enterprise (lumber),AGR,US$507m,507,yes,"US$461566, plus interest (from 31 May 2002 until payment at 5% per annum, compounded quarterly)",0.5,n.a.,n.a.,n.a.,n.a.
1999,2002,EGY,ARB/99/6,Middle East Cement Shipping and Handling Co. v. Arab Republic of Egypt,0,0,NA,NA,GRC,investor,0,,0,n.a.,n.a.,n.a.,n.a.,ICSID,Egypt-Greece BIT,Manufacturing (cement),MFG,US$42m plus compound interest,42,yes,"US$2,190,430 awarded plus US$1,558,970 in compound interest up to date of award, plus interest at 6% compounded annually until payment; legal fees unclear (award in French)",2.2,no,n.a.,n.a.,n.a.
1998,2002,LBR,ARB/98/3,International Trust Company of Liberia v. Republic of Liberia,0,0,NA,NA,USA,Discontinued,NA,,0,n.a.,n.a.,n.a.,n.a.,ICSID,other (as coded by ICSID),Maritime services,UTL,unknown,unknown,yes,settlement,settlement,n.a.,n.a.,n.a.,n.a.
2000,2002,LKA,ARB/00/2,Mihaly International Corp. v. Democratic Socialist Republic of Sri Lanka,0,3,1,2,USA,state,0,,0,n.a.,n.a.,n.a.,n.a.,ICSID,Sri Lanka-United States BIT,Electric power concession,UTL,unknown,unknown,yes,0,0,no,n.a.,n.a.,n.a.
1999,2002,MEX,ARB(AF)/99/1,Marvin Roy Feldman Karpa v. United Mexican States,0,1,0,0,USA,investor,0,,0,n.a.,n.a.,n.a.,n.a.,ICSID AF,NAFTA,Import/Export (cigarettes),SER,US$50m,50,yes,"Mexican Pesos 9464627.50, plus interest",0.9,no,n.a.,n.a.,n.a.
1999,2002,USA,ARB(AF)/99/2,Mondev International Ltd. v. United States of America,0,1,0,0,CAN,state,0,,0,n.a.,n.a.,n.a.,n.a.,ICSID AF,NAFTA,Real estate (commercial),RE,not less than US$50m,50,yes,0,0,no,n.a.,n.a.,n.a.
2000,2002,VEN,ARB/00/3,"GRAD Associates, PA v. Bolivarian Republic of Venezuela",0,0,NA,NA,USA,Discontinued,NA,,0,n.a.,n.a.,n.a.,n.a.,ICSID,other (as coded by ICSID),Construction (penitentiaries),UTL,unknown,unknown,yes,settlement,settlement,n.a.,n.a.,n.a.,n.a.
2002,2003,CMR,ARB/02/4,Lafarge v. Republic of Cameroon,NA,0,NA,NA,FRA,Discontinued,NA,,0,n.a.,n.a.,n.a.,n.a.,ICSID,Cameroon Investment Law (1990),Manufacturing (cement),MFG,unknown,unknown,yes,settlement,settlement,n.a.,n.a.,n.a.,n.a.
2001,2003,GUY,ARB/01/9,Booker PLC v. Guyana,NA,3,1,2,GBR,settlement,1,,0,n.a.,n.a.,n.a.,n.a.,ICSID,Guyana-United Kingdom BIT,Agricultural enterprise (sugar),AGR,"Approximately US$10m in damages, plus US$8m in interest and costs",10,yes,settlement,settlement,n.a.,n.a.,n.a.,n.a.
2001,2003,MLI,ARB/01/5,Societe d'Exploitation des Mines d'or de Sadiola SA v. Republic of Mali,NA,0,NA,NA,ZAF,investor,0,,0,n.a.,n.a.,n.a.,n.a.,ICSID,other (as coded by ICSID),Mining (gold),MIN,unknown,unknown,yes,West African CFA 1800240000,2.6,no,n.a.,n.a.,n.a.
2003,2003,SAU,ARB/03/1,Ed. Zublin AG v. Kingdom of Saudi Arabia,NA,0,NA,NA,DEU,settlement,1,,0,n.a.,n.a.,n.a.,n.a.,ICSID,Germany-Saudi Arabia BIT,Real estate (commercial),RE,unknown,unknown,yes,settlement,settlement,n.a.,n.a.,n.a.,n.a.
2000,2003,CZE,n.a.,CME v. Czech Republic,0,3,1,2,NLD,investor,0,,0,n.a.,n.a.,n.a.,n.a.,UNCITRAL,Czech Republic-Netherlands BIT,Broadcasting enterprise,TEL,US$560m plus interest,560,yes,"US$269814000, plus interest (at 10% from 23 February 2003 until payment). Respondent to cover parts of Claimant's legal fees and 2/3 costs of arbitration.",269.8,n.a.,n.a.,n.a.,n.a.
2001,2003,LVA,n.a.,Nykomb Synergetics v. Latvia,0,2,NA,1,SWE,investor,0,,0,n.a.,n.a.,n.a.,n.a.,SCC,Energy Charter Treaty,Electric power concession,UTL,Approximately US$12.8m,12.8,yes,"Latvian Lats 1600000, plus interest",3,n.a.,n.a.,n.a.,n.a.
2002,2003,SYC,ARB/02/14,CDC Group PLC v. Republic of Seychelles,0,n.a.,NA,NA,GBR,investor,0,,NA,n.a.,n.a.,n.a.,n.a.,ICSID,Contract with host state,Finance (debt instruments),FIN,UK??2103379,3.3,yes,"UK??2.4m, plus legal fees",3.9,yes,2004,2005,upheld
2000,2003,VEN,ARB/00/5,Autopista Concesionada de Venezuela CA v. Bolivarian Republic of Venezuela,0,0,NA,NA,VEN,investor,0,,0,n.a.,n.a.,n.a.,n.a.,ICSID,Contract with host state,Highway construction project,UTL,Several separate enumerations totaling approximately Venezuelan Bolivar 49.6b,292,yes,"US$12.1m, plus interest (parties to pay their own legal costs)",12.1,no,n.a.,n.a.,n.a.
2002,2003,CZE,049/2002,William Nagel v. Czech Republic,0,3,1,2,GBR,state,0,,0,n.a.,n.a.,n.a.,n.a.,SCC,Czech Republic-United Kingdom BIT,"Telecommunications (mobile, GSM)",TEL,unknown,unknown,yes,0,0,n.a.,n.a.,n.a.,n.a.
2000,2003,GEO,ARB/00/1,Zhinvali Development Ltd. v. Republic of Georgia,0,2,NA,1,IRL,state,0,,0,n.a.,n.a.,n.a.,n.a.,ICSID,Georgia Investment Law (1996),Electric power concession (hydro),UTL,US$26m,26,yes,0,0,no,n.a.,n.a.,n.a.
2001,2003,KAZ,ARB/01/6,"AIG Capital Partners, Inc. & CJSC Tema Real Estate Company v. Kazakhstan",0,2,NA,1,USA,investor,0,,0,n.a.,n.a.,n.a.,n.a.,ICSID,Kazakhstan-United States BIT,Real estate (residential),RE,unknown,unknown,yes,"US$9951709, plus continuing interest",10,no,n.a.,n.a.,n.a.
2000,2003,MAR,ARB/00/6,Consortium RFCC v. Morocco,0,0,NA,NA,ITA,state,0,,0,n.a.,n.a.,n.a.,n.a.,ICSID,Italy-Morocco BIT,Highway construction project,UTL,?_72186174.35,68,yes,0,0,yes,2004,2006,upheld
2000,2003,MEX,ARB(AF)/00/2,Tecnicas Medioambientales Tecmed v. United Mexican States,0,1,0,0,ESP,investor,0,,0,n.a.,n.a.,n.a.,n.a.,ICSID AF,Mexico-Spain BIT,Waste management,SER,US$52m plus interest,52,yes,"US$5533017.12, plus compound interest (at annual rate of 6%, commencing 25 November 1998 until payment). Each party to pay their legal costs and costs of arbitration split.",5.5,no,n.a.,n.a.,n.a.
2000,2003,UKR,ARB/00/9,Generation Ukraine v. Ukraine,0,2,NA,1,USA,state,0,,0,n.a.,n.a.,n.a.,n.a.,ICSID,Ukraine-United States BIT,Real estate (commercial),RE,US$7.1b plus US$2.3b in legal costs,9400,yes,0,0,no,n.a.,n.a.,n.a.
1998,2003,USA,ARB(AF)/98/3,The Loewen Group Inc. and Raymond L. Loewen v. United States of America,0,1,0,0,CAN,state,0,,0,n.a.,n.a.,n.a.,n.a.,ICSID AF,NAFTA,Funeral home operation,SER,Not less than US$725m,725,yes,0,0,no,n.a.,n.a.,n.a.
2000,2003,USA,ARB(AF)/00/1,ADF Group Inc. v. United States,0,1,0,0,CAN,state,0,,0,n.a.,n.a.,n.a.,n.a.,ICSID AF,NAFTA,Highway construction project,UTL,Not less than US$90m,90,yes,0,0,no,n.a.,n.a.,n.a.
2000,2003,MMR,ARB/01/1,Yaung Chi OO Trading Pte Ltd. v. Government of the Union of Myanmar,1,0,NA,NA,SGP,state,0,,0,n.a.,n.a.,n.a.,n.a.,ad hoc,ASEAN Agreement for the Promotion and Protection of Investments (1987),Brewery,MFG,unknown,unknown,yes,0,0,no,n.a.,n.a.,n.a.
2004,2004,ARG,n.a.,United Utilities International Limited (UUIL) v Argentine Republic,NA,3,1,2,GBR,unclear,NA,,1,n.a.,n.a.,n.a.,n.a.,UNCITRAL,Argentina-United Kingdom BIT,Electric power concession,UTL,US$100m,100,yes,settlement,settlement,n.a.,n.a.,n.a.,n.a.
2001,2004,ECU,ARB/01/10,Repsol YPF Ecuador SA v. Republic of Ecuador and Empresa Estatal Petr??leos del Ecuador (PetroEcuador),NA,0,NA,NA,ESP,investor,0,,0,n.a.,n.a.,n.a.,n.a.,ICSID,Contract with host state,Oil and gas (exploration),OIL,unknown,unknown,yes,US$13684279.23,13.7,yes,2004,2007,upheld
2002,2004,ECU,ARB/02/10,IBM World Trade Corp. v. Republic of Ecuador,NA,0,NA,NA,USA,settlement,1,,0,n.a.,n.a.,n.a.,n.a.,ICSID,Ecuador-United States BIT,Software,SER,unknown,unknown,yes,settlement,settlement,n.a.,n.a.,n.a.,n.a.
2002,2004,JOR,ARB/02/12,JacobsGibb Limited v. Hashemite Kingdom of Jordan,NA,0,NA,NA,GBR,settlement,1,,0,n.a.,n.a.,n.a.,n.a.,ICSID,Jordan-United Kingdom BIT,Water services concession,UTL,unknown,unknown,yes,settlement,settlement,n.a.,n.a.,n.a.,n.a.
2002,2004,KAZ,ARB/02/11,Enrho St Limited v. Republic of Kazakhstan,NA,2,NA,1,CYM,settlement,1,,0,n.a.,n.a.,n.a.,n.a.,ICSID,Kazakhstan Investment Law (1994),Electric power concession,UTL,unknown,unknown,yes,settlement,settlement,n.a.,n.a.,n.a.,n.a.
2000,2004,MAR,ARB/00/4,Salini Costruttori & Italstrade v. Kingdom of Morocco,NA,0,NA,NA,ITA,settlement,1,,0,n.a.,n.a.,n.a.,n.a.,ICSID,Italy-Morocco BIT,Highway construction project,UTL,Equivalent to US$66114917,66.1,yes,settlement,settlement,n.a.,n.a.,n.a.,n.a.
2003,2004,TUN,1/1 Q,Tanmiah v. Tunisia,NA,3,1,2,SAU,state,0,,0,n.a.,n.a.,n.a.,n.a.,AIC,Arab Investment Agreement,Broadcasting enterprise,SER,US$79058170,79.1,yes,0,0,no,n.a.,n.a.,n.a.
2002,2004,URY,n.a.,"Chemical Overseas Holdings, Inc. (U.S.), Credit Suisse First Boston (Switzerland), & Dresdner Bank Latinamerika (Germany) v. Republic of Uruguay",NA,1,0,0,USA,investor,0,,0,CHE,DEU,n.a.,n.a.,ICC,Contract with host state,Banking,FIN,US$700m,700,yes,"US$100m, plus fees",100,no,n.a.,n.a.,n.a.
