end (Year end),host (Host state ISO3),filed (Year filed),execme_end,execme_filed,v2pariglef_filed,v2pariglef_filed_dummy,v2pariglef_end_dummy,winner,state_lose,settled,v2pariglef_filed_ref,direct,v2pariglef_end,v2pariglef_end_ref1,v2pariglef_end_ref2,caseno (Case no.),parties (Parties to arbitration),direct2,execrlc,execrlc_dummy2,execrlc_dummy,execrlc_count,home (Home state ISO3),partisan,execnat,home2 (Home state2 ISO3),home3 (Home state3 ISO3),home4 (Home state4 ISO3),home5 (Home state5 ISO3),venue (Venue or rules adopted),legal (Legal doc. invoked),invsttype (Text on investment type),sector (Sector 3-letter code),asought_text (Text on award sought),"asought_usm (Award sought in US$m, exchange rate at time of filing, less interest/costs)",concluded (Arbitration concluded),ainvst_text (Text on award to investor),"ainvst_usm (Award to investor in US$m, not including costs/interest)",annul (Annulment filed),annul_filed (Year annulment filed),annul_end (Year annulment ends),annulstatus (Status of annulment)
2009,DOM,2007,PLD,PLD,4.042,0,0,settlement,1,1,,0,3.864,3.887,,n.a.,TCW v Dominican Republic,1,2,1,NA,1,USA,,0,n.a.,n.a.,n.a.,n.a.,UNCITRAL,CAFTA-DR,Electric power concession,UTL,US$500m,500,yes,settlement,settlement,n.a.,n.a.,n.a.,n.a.
2004,ECU,2002,PSP,DP,3.5,0,1,settlement,1,1,,NA,2.553,,,ARB/02/10,IBM World Trade Corp. v. Republic of Ecuador,NA,0,NA,NA,NA,USA,,0,n.a.,n.a.,n.a.,n.a.,ICSID,Ecuador-United States BIT,Software,SER,unknown,unknown,yes,settlement,settlement,n.a.,n.a.,n.a.,n.a.
2007,EST,2006,SDE,ERL,3.6,0,1,settlement,1,1,ERa,NA,2.002,,,ARB/06/6,"Rail World LLC, et al v. Republic of Estonia",NA,0,NA,NA,NA,NLD,,0,USA,n.a.,n.a.,n.a.,ICSID,"Estonia-Netherlands BIT, Estonia-United States BIT",Transportation (rail),UTL,unknown,unknown,yes,settlement,settlement,n.a.,n.a.,n.a.,n.a.
2012,GEO,2008,UNM,UNM,4.571,0,0,settlement,1,1,,1,3.876,,,n.a.,iZEE v Georgia,0,0,NA,NA,NA,USA,,0,n.a.,n.a.,n.a.,n.a.,UNCITRAL,Georgia-United States BIT,unknown,unknown,unknown,unknown,yes,settlement,settlement,n.a.,n.a.,n.a.,n.a.
2010,GEO,2008,UNM,UNM,4.571,0,0,settlement,1,1,,NA,4.155,,,ARB/08/7,Itera International Energy LLC & Itera Group NV v. Georgia,NA,0,NA,NA,NA,USA,,0,NLD,n.a.,n.a.,n.a.,ICSID,"Georgia-United States BIT, Georgia-Netherlands BIT",Oil and gas (distribution),OIL,unknown,unknown,yes,settlement,settlement,n.a.,n.a.,n.a.,n.a.
2010,GEO,2009,UNM,UNM,4.678,0,0,settlement,1,1,4.571 (2008),NA,4.155,,,ARB/09/22,Itera International Energy LLC and Itera Group NV v. Georgia,NA,0,NA,NA,NA,USA,,0,NLD,n.a.,n.a.,n.a.,ICSID,"United States-Georgia BIT, Netherlands-Georgia BIT",Oil and gas (distribution),OIL,unknown,unknown,yes,settlement,settlement,n.a.,n.a.,n.a.,n.a.
2005,GHA,2003,NPP,NPP,3.781,0,0,settlement,1,1,3.75 (2004),NA,3.675,,,(PCA Case No. 2003-03),Telekom Malaysia v. Ghana,NA,1,0,0,0,MYS,,0,n.a.,n.a.,n.a.,n.a.,UNCITRAL,Ghana-Malaysia BIT,Telecommunications,TEL,unknown,unknown,yes,settlement,settlement,n.a.,n.a.,n.a.,n.a.
2002,HUN,2001,FiDeSz,FiDeSz,3.286,0,0,settlement,1,1,,NA,3.549,,,ARB/01/4,AES Summit Generation Ltd. v. Hungary,NA,3,1,1,2,GBR,,0,n.a.,n.a.,n.a.,n.a.,ICSID,"Hungary-United Kingdom BIT, Energy Charter Treaty",Electric power concession,UTL,unknown,unknown,yes,settlement,settlement,n.a.,n.a.,n.a.,n.a.
2014,LVA,2013,Unity,Unity,4,0,0,settlement,1,1,V,NA,4.121,,,n.a., Bryn Services Ltd v. Latvia,NA,0,NA,NA,NA,CHE,,0,n.a.,n.a.,n.a.,n.a.,ICC,Switzerland-Latvia BIT,Banking,FIN,unknown,unknown,yes,settlement,settlement,n.a.,n.a.,n.a.,n.a.
2007,NIC,2006,FSLN,PLC,5,0,1,settlement,1,1,,0,2.282,,2.193 (2006),ARB/06/14,Shell Brands International AG & Shell Nicaragua SA v. Republic of Nicaragua,1,3,1,1,2,NLD,,0,n.a.,n.a.,n.a.,n.a.,ICSID,Netherlands-Nicaragua BIT,Oil and gas,OIL,unknown,unknown,yes,settlement,settlement,n.a.,n.a.,n.a.,n.a.
2001,PER,1998,Change 90,Change 90,4.416,0,0,settlement,1,1,,NA,4.254,,,ARB/98/6,Compagnie Mini??re Internationale Or S.A. v. Republic of Peru,NA,1,0,0,0,FRA,,0,n.a.,n.a.,n.a.,n.a.,ICSID,France-Peru BIT,Mining (gold),MIN,unknown,unknown,yes,settlement,settlement,n.a.,n.a.,n.a.,n.a.
2008,PHL,2002,Lakas-CMD,Lakas-CMD,4.5,0,0,settlement,1,1,,0,4.381,,,ARB/02/6,SGS Societe Generale de Surveillance SA v. Republic of the Philippines,1,2,1,NA,1,CHE,,0,n.a.,n.a.,n.a.,n.a.,ICSID,Philippines-Switzerland BIT,Consulting services (testing and verification),SER,"Approximately US$140m, plus interest",140,yes,settlement,settlement,n.a.,n.a.,n.a.,n.a.
2011,POL,2006,PO,PiS,3.428,0,0,settlement,1,1,,0,3.451,,,n.a.,Vivendi v. Poland,1,2,1,NA,1,FRA,,0,n.a.,n.a.,n.a.,n.a.,UNCITRAL,France-Poland BIT,Telecommunications (mobile),TEL,unknown,unknown,yes,settlement,settlement,n.a.,n.a.,n.a.,n.a.
2014,PRY,2007,Colorado,Colorado,4.5,0,0,settlement,1,1,,0,4.385,,,ARB/07/9,"Bureau Veritas, Inspection, Valuation, Assestment and Control, BIVAC BV v. Republic of Paraguay",1,1,0,0,0,NLD,,0,n.a.,n.a.,n.a.,n.a.,ICSID,Netherlands-Paraguay BIT,Consulting services,SER,unknown,unknown,yes,settlement,settlement,n.a.,n.a.,n.a.,n.a.
2012,SEN,2008,PDS,PDS,4.333,0,0,settlement,1,1,,1,4.249,,,ARB/08/20,"Millicom International Operations BV, et al v. Senegal",0,1,0,0,0,NLD,,0,n.a.,n.a.,n.a.,n.a.,ICSID,"Netherlands-Senegal BIT, Contract",Telecommunications,TEL,unknown,unknown,yes,settlement,settlement,n.a.,n.a.,n.a.,n.a.
2013,SVK,2012,Smer-SD,SDKU,4.2,0,1,settlement,1,1,,0,1.884,,,ARB/12/7,"Slovak Gas Holding BV, GDF International SAS and E.ON Ruhrgas International GmbH v. Slovak Republic",1,3,1,1,2,DEU,,0,NLD,n.a.,n.a.,n.a.,ICSID,Energy Charter Treaty,Oil and gas,OIL,unknown,unknown,yes,settlement,settlement,n.a.,n.a.,n.a.,n.a.
2005,TUR,2004,AKP,AKP,3.88,0,0,settlement,1,1,,1,3.933,,4.041 (2007),ARB/04/21,Motorola Credit Corporation Inc. v. Republic of Turkey,0,0,NA,NA,NA,USA,,0,n.a.,n.a.,n.a.,n.a.,ICSID,Turkey-United States BIT,Telecommunications (mobile),TEL,unknown,unknown,yes,settlement,settlement,n.a.,n.a.,n.a.,n.a.
2015,TUR,2015,AKP,AKP,4.8,0,0,settlement,1,1,,NA,4.853,,,ARB/15/26,Nabucco Gas Pipeline International GmbH in Liqu. v. Republic of Turkey,NA,0,NA,NA,NA,AUT,,0,n.a.,n.a.,n.a.,n.a.,ICSID,Austria-Turkey BIT,Oil and gas (pipeline),OIL,unknown,unknown,yes,settlement,settlement,n.a.,n.a.,n.a.,n.a.
2000,UKR,1998,MBR,MBR,3.143,0,0,settlement,1,1,NDP; 3.143 (1998),NA,3.208,,3.208 (1998); NDPU,ARB(AF)/98/1,Joseph Charles Lemire v. Ukraine,NA,2,1,NA,1,USA,,0,n.a.,n.a.,n.a.,n.a.,ICSID AF,Ukraine-United States BIT,Broadcasting enterprise (radio),TEL,unknown,unknown,yes,settlement,settlement,n.a.,n.a.,n.a.,n.a.
2007,USA,2002,Republicans,Republicans,5,0,0,settlement,1,1,,0,4.654,,,n.a.,Kenex Ltd. v. United States of America,1,1,0,0,0,CAN,,0,n.a.,n.a.,n.a.,n.a.,UNCITRAL,NAFTA,Agricultural enterprise (hemp),AGR,Not less than US$20m,20,yes,settlement,settlement,n.a.,n.a.,n.a.,n.a.
2007,VNM,2005,CPV,CPV,3.3,0,0,settlement,1,1,,1,3.939,,VFF,n.a.,Trinh Vinh Binh & Binh Chau Joint Stock Company v. Socialist Republic of Viet Nam,0,3,1,1,2,NLD,,1,n.a.,n.a.,n.a.,n.a.,UNCITRAL,Netherlands-Vietnam BIT,Manufacturing (frozen food),MFG,unknown,unknown,yes,settlement,settlement,n.a.,n.a.,n.a.,n.a.
2010,YEM,2009,GPC,GPC,3.429,0,1,settlement,1,1,,NA,2.955,,2.955 (2003),ARB/09/7,MTN (Dubai) Limited and MTN Yemen for Mobile Telephones v. Republic of Yemen,NA,0,NA,NA,NA,ARE,,1,n.a.,n.a.,n.a.,n.a.,ICSID,"Yemen-UAE BIT, Yemen Investment Law (2002)",Telecommunications (mobile),TEL,unknown,unknown,yes,settlement,settlement,n.a.,n.a.,n.a.,n.a.
2014,ARG,2012,FPV,FPV,1.727,1,1,settlement,1,1,,1,1.5605,,,ARB/12/38,"Repsol, S.A. and Repsol Butano, S.A. v. Argentine Republic",0,3,1,1,2,ESP,,0,n.a.,n.a.,n.a.,n.a.,ICSID,Argentina-Spain BIT,Oil and gas,OIL,US$10bn,10000,yes,settlement,settlement,n.a.,n.a.,n.a.,n.a.
2012,ARG,2008,FPV,FPV,1.727,1,1,settlement,1,1,,NA,1.555,,,ARB/08/14,Impregilo SpA v. Argentine Republic,NA,3,1,1,2,ITA,,0,n.a.,n.a.,n.a.,n.a.,ICSID,Argentina-Italy BIT,Highway construction project,UTL,unknown,unknown,yes,settlement,settlement,n.a.,n.a.,n.a.,n.a.
2007,ARG,2003,FPV,PJ,2.545,1,1,settlement,1,1,,0,1.554,,,ARB/03/7,Camuzzi International S.A. v. Argentine Republic,1,3,1,1,2,BELLUX,,0,n.a.,n.a.,n.a.,n.a.,ICSID,"Belgium & Luxembourg-Argentina BIT, US-Argentina BIT",Electric power concession,UTL,US$245m,245,yes,settlement,settlement,n.a.,n.a.,n.a.,n.a.
2008,ARG,2003,FPV,PJ,2.545,1,1,settlement,1,1,,0,1.557,,,ARB/03/10,Gas Natural SDG SA v. Argentine Republic,1,3,1,1,2,ESP,,0,USA,n.a.,n.a.,n.a.,ICSID,"Argentina-Spain BIT, Argentina-US BIT",Oil and gas,OIL,unknown,unknown,yes,settlement,settlement,n.a.,n.a.,n.a.,n.a.
2008,ARG,2003,FPV,PJ,2.545,1,1,settlement,1,1,,0,1.557,,,ARB/03/13 consolidated with ARB/04/8,Pan American Energy LLC & BP Argentina Exploration Company v. Argentine Republic,1,3,1,1,2,USA,,0,n.a.,n.a.,n.a.,n.a.,ICSID,Argentina-United States BIT,Electric power and hydrocarbon concessions,OIL,US$1.321b,1321,yes,settlement,settlement,n.a.,n.a.,n.a.,n.a.
2009,ARG,2003,FPV,PJ,2.545,1,1,settlement,1,1,,0,1.56,,,ARB/03/20,Telefonica SA v. Argentine Republic,1,3,1,1,2,ESP,,0,n.a.,n.a.,n.a.,n.a.,ICSID,Argentina-Spain BIT,Telecommunications,TEL,unknown,unknown,yes,settlement,settlement,n.a.,n.a.,n.a.,n.a.
2009,ARG,2005,FPV,PJ,2.545,1,1,settlement,1,1,,0,1.56,,,ARB/05/2,Compania General de Electricidad SA & CGE Argentina SA v. Argentine Republic,1,3,1,1,2,CHL,,0,n.a.,n.a.,n.a.,n.a.,ICSID,Argentina-Chile BIT,Electric power concession,UTL,US$125m,125,yes,settlement,settlement,n.a.,n.a.,n.a.,n.a.
2005,ARG,2003,PJ,PJ,2.545,1,1,settlement,1,1,,0,2.582,,,ARB/03/12,"Pioneer Natural Resources Company, Pioneer Natural Resources (Argentina) SA & Pioneer Natural Resources (Tierra del Fuego) SA v. Argentine Republic",1,3,1,1,2,USA,,1,n.a.,n.a.,n.a.,n.a.,ICSID,Argentina-United States BIT,Electric power concession,UTL,unknown,unknown,yes,settlement,settlement,n.a.,n.a.,n.a.,n.a.
2011,ARG,2005,FPV,PJ,2.545,1,1,settlement,1,1,,NA,1.546,,,n.a.,Bank of Nova Scotia (or Scotiabank BNS) v. Argentine Republic,NA,3,1,1,2,CAN,,0,n.a.,n.a.,n.a.,n.a.,UNCITRAL,Argentina-Canada BIT,Banking,FIN,Approximately US$600m,600,yes,settlement,settlement,n.a.,n.a.,n.a.,n.a.
2007,ARG,2003,FPV,PJ,2.545,1,1,settlement,1,1,,NA,1.554,,,ARB/03/18,"Aguas Cordobesas SA, Suez, and Sociedad General de Aguas de Barcelona SA v. Argentine Republic",NA,3,1,1,2,FRA,,0,ESP,n.a.,n.a.,n.a.,ICSID,"Argentina-Spain BIT, Argentina-France BIT",Water services concession,UTL,unknown,unknown,yes,settlement,settlement,n.a.,n.a.,n.a.,n.a.
2008,ARG,2004,FPV,PJ,2.545,1,1,settlement,1,1,,NA,1.557,,,ARB/04/8 consolidated with ARB/03/13,"BP America Production Company, Pan American Sur SRL, Pan American Fueguina, SRL and Pan American Continental SRLothers v. Argentine Republic",NA,3,1,1,2,USA,,0,n.a.,n.a.,n.a.,n.a.,ICSID,Argentina-France BIT,Electric power and hydrocarbon concessions,OIL,US$1.321b,1321,yes,settlement,settlement,n.a.,n.a.,n.a.,n.a.
2009,ARG,2004,FPV,PJ,2.545,1,1,settlement,1,1,,NA,1.56,,,ARB/04/9,CIT Group Inc. v. Argentine Republic,NA,3,1,1,2,USA,,0,n.a.,n.a.,n.a.,n.a.,ICSID,Argentina-United States BIT,Leasing enterprise,RE,US$120m,120,yes,settlement,settlement,n.a.,n.a.,n.a.,n.a.
2006,ARG,2004,FPV,PJ,2.545,1,1,settlement,1,1,,NA,1.603,,,ARB/04/18,France Telecom SA v. Argentina Republic,NA,3,1,1,2,FRA,,0,n.a.,n.a.,n.a.,n.a.,ICSID,Argentina-France BIT,Telecommunications,TEL,US$300m,300,yes,settlement,settlement,n.a.,n.a.,n.a.,n.a.
2006,ARG,2004,FPV,PJ,2.545,1,1,settlement,1,1,,NA,1.603,,,ARB/04/20,RGA Reinsurance Company v. Argentine Republic,NA,3,1,1,2,USA,,0,n.a.,n.a.,n.a.,n.a.,ICSID,United States-Argentina BIT,Finance (reinsurance),FIN,unknown,unknown,yes,settlement,settlement,n.a.,n.a.,n.a.,n.a.
1998,BDI,1995,independent,Frodebu,2,1,NA,settlement,1,1,2 (1993),0,NA,,,ARB/95/3,Antoine Goetz et al v. Burundi,1,0,NA,NA,NA,BELLUX,,0,n.a.,n.a.,n.a.,n.a.,ICSID,Belgium & Luxembourg-Burundi BIT,Mining,MIN,Approximately US$175m,175,yes,settlement,settlement,n.a.,n.a.,n.a.,n.a.
2008,BOL,2008,MAS,MAS,1.333,1,1,settlement,1,1,,1,1.204,,,68/2008,AEI Luxembourg Holdings v. Bolivia,0,3,1,1,2,BELLUX,,0,n.a.,n.a.,n.a.,n.a.,SCC,Belgium & Luxembourg-Bolivia BIT,Oil and gas (gas pipeline),OIL,US$120m,120,yes,settlement,settlement,n.a.,n.a.,n.a.,n.a.
2008,BOL,2008,MAS,MAS,1.333,1,1,settlement,1,1,,NA,1.204,,,n.a.,Gastrans Boliviano v. Bolivia,NA,3,1,1,2,GBR,,0,NLD,BRA,n.a.,n.a.,UNCITRAL,Bolivia-United Kingdom BIT,Oil and gas,OIL,GTB agreed to withraw claim in 2011 in exchange for US$39.3m,39.3,yes,settlement,settlement,n.a.,n.a.,n.a.,n.a.
2010,BOL,2007,MAS,MAS,1.333,1,1,settlement,1,1,,NA,1.204,,,ARB/07/28,ETI Euro Telecom International NV v. Plurinational State of Bolivia,NA,3,1,1,2,NLD,,0,n.a.,n.a.,n.a.,n.a.,ICSID,Bolivia-Netherlands BIT,Telecommunications,TEL,unknown,unknown,yes,settlement,settlement,n.a.,n.a.,n.a.,n.a.
2011,BOL,2010,MAS,MAS,1.333,1,1,settlement,1,1,,NA,1.204,,,n.a.,Oiltanking GmbH and the Grana y Montero Group v. Bolivia,NA,3,1,1,2,DEU,,0,PER,n.a.,n.a.,n.a.,PCA,"Bolivia-Germany BIT, Bolivia-Peru BIT",Oil and gas,OIL,US$30m,30,yes,settlement,settlement,n.a.,n.a.,n.a.,n.a.
2015,BOL,2015,MAS,MAS,1.4,1,1,settlement,1,1,,NA,1.283,1.204,,n.a.,Paz Holdings Ltd. v. Plurinational State of Bolivia,NA,3,1,1,2,GBR,,0,n.a.,n.a.,n.a.,n.a.,UNCITRAL,Plurinational state of Bolivia v. United Kingdom,Electric power concession,UTL,unknown,unknown,yes,settlement-US$19.51m,settlement-19.51,n.a.,n.a.,n.a.,n.a.
2013,CHN,2011,CCP,CCP,2.96,1,1,settlement,1,1,,NA,2.629,,,ARB/11/15,Ekran Berhad v. People's Republic of China,NA,3,1,1,2,MYS,,0,ISR,n.a.,n.a.,n.a.,ICSID,"China-Malaysia BIT, China-Israel BIT",Tourism (arts and culture facilities),SER,unknown,unknown,yes,settlement,settlement,n.a.,n.a.,n.a.,n.a.
1997,COG,1997,UPADS,UPADS,1,1,1,settlement,1,1,,0,1.386,,1.386 (1993),ARB/97/2,Societe Kufpec (Congo) Limited v. Republic of Congo,1,3,1,1,2,GBR,,0,KWT,n.a.,n.a.,n.a.,ICSID,other (as coded by ICSID),Oil and gas,OIL,unknown,unknown,yes,settlement,settlement,n.a.,n.a.,n.a.,n.a.
2008,COG,2006,PCT,PCT,1,1,1,settlement,1,1,,NA,1.356,,,ARB/06/12,Scancem International ANS v. Republic of Congo,NA,3,1,1,2,NOR,,0,n.a.,n.a.,n.a.,n.a.,ICSID,Contract with host state,Manufacturing (cement),MFG,unknown,unknown,yes,settlement,settlement,n.a.,n.a.,n.a.,n.a.
2009,CZE,2005,ODS,CSSD,1.571,1,0,settlement,1,1,,0,4.263,4.229,,n.a.,Mittal Steel Company NV (Dutch company) v Czech Republic,1,0,NA,NA,NA,NLD,,0,n.a.,n.a.,n.a.,n.a.,UNCITRAL,Czech Republic-Netherlands BIT,Steel production,MFG,unknown,unknown,yes,settlement,settlement,n.a.,n.a.,n.a.,n.a.
2009,CZE,2005,ODS,CSSD,1.571,1,0,settlement,1,1,,NA,4.263,4.229,,n.a.,K+Venture Partners v. Czech Republic,NA,0,NA,NA,NA,NLD,,0,n.a.,n.a.,n.a.,n.a.,UNCITRAL,Czech Republic-Netherlands BIT,Finance (venture capital),FIN,?_4.7m,5.1,yes,settlement,settlement,n.a.,n.a.,n.a.,n.a.
2008,DEU,2000,CDU,SPD,2.75,1,0,settlement,1,1,,NA,3.696,3.637,,n.a.,Ashok Sancheti v. Germany,NA,1,0,0,0,IND,,0,n.a.,n.a.,n.a.,n.a.,UNCITRAL,Germany-India BIT,Real estate,RE,"Not less than US$36m, plus costs",36,yes,settlement,settlement,n.a.,n.a.,n.a.,n.a.
2013,DZA,2009,FLN,FLN,1.5,1,1,settlement,1,1,,NA,1.674,,,ARB/09/14,"Maersk Olie, Algeriet A/S v. People's Democratic Republic of Algeria",NA,3,1,1,2,DNK,,1,n.a.,n.a.,n.a.,n.a.,ICSID,Denmark-Algeria BIT,Oil and gas,OIL,Over US$11b,11000,yes,settlement,settlement,n.a.,n.a.,n.a.,n.a.
2009,ECU,2005,PAIS,PSP,2.833,1,1,settlement,1,1,,0,2.937,,,ARB/05/12,Noble Energy Inc. & Machala Power Cia. Ltd. v. Republic of Ecuador & Consejo Nacional de Electricidad,1,3,1,1,2,USA,,0,n.a.,n.a.,n.a.,n.a.,ICSID,"Ecuador-United States BIT, Contract",Electric power concession,UTL,unknown,unknown,yes,settlement,settlement,n.a.,n.a.,n.a.,n.a.
2003,GUY,2001,PPP,PPP,2.5,1,1,settlement,1,1,,NA,2.674,,,ARB/01/9,Booker PLC v. Guyana,NA,3,1,1,2,GBR,,0,n.a.,n.a.,n.a.,n.a.,ICSID,Guyana-United Kingdom BIT,Agricultural enterprise (sugar),AGR,"Approximately US$10m in damages, plus US$8m in interest and costs",10,yes,settlement,settlement,n.a.,n.a.,n.a.,n.a.
2004,IDN,2004,PDI-P,PDI-P,2,1,1,settlement,1,1,,0,2.111,,,ARB/04/3,Cemex Asia Holdings Ltd v. Indonesia [Brought by Singaporean subsidiary of Cemex SA de CV (Mexico)],1,0,NA,NA,NA,SGP,,0,n.a.,n.a.,n.a.,n.a.,ICSID,"Contract, ASEAN Agreement for the Promotion and Protection of Investments (1987)",Manufacturing (cement),MFG,Approximately US$400m,400,yes,settlement,settlement,n.a.,n.a.,n.a.,n.a.
2005,IND,2004,INC,PDI-P,2,1,1,settlement,1,1,,NA,2.394,,2.349 (2004),n.a.,Erste Bank Der Oesterreichischen Sparkassen AG v. India,NA,3,1,1,2,AUT,,0,n.a.,n.a.,n.a.,n.a.,UNCITRAL,Austria-India BIT,Electric power concession,UTL,unknown,unknown,yes,settlement,settlement,n.a.,n.a.,n.a.,n.a.
2005,IND,2004,INC,PDI-P,2,1,1,settlement,1,1,,NA,2.394,,2.349 (2004),n.a.,BNP Paribas v. India,NA,3,1,1,2,FRA,,0,n.a.,n.a.,n.a.,n.a.,UNCITRAL,France-India BIT,Electric power concession,UTL,unknown,unknown,yes,settlement,settlement,n.a.,n.a.,n.a.,n.a.
2005,IND,2004,INC,PDI-P,2,1,1,settlement,1,1,,NA,2.394,,2.349 (2004),n.a.,Credit Lyonnais SA (now Calyon SA) v. India,NA,3,1,1,2,FRA,,0,n.a.,n.a.,n.a.,n.a.,UNCITRAL,France-India BIT,Electric power concession,UTL,unknown,unknown,yes,settlement,settlement,n.a.,n.a.,n.a.,n.a.
2005,IND,2004,INC,PDI-P,2,1,1,settlement,1,1,,NA,2.394,,2.349 (2004),n.a.,"Offshore Power Production CV, Travamark Two BV, EFS India-Energy BV, Enron BV, & Indian Power Investments BV (Netherlands) v. India",NA,3,1,1,2,NLD,,0,n.a.,n.a.,n.a.,n.a.,UNCITRAL,India-Netherlands BIT,Electric power concession,UTL,Over US$4b,4000,yes,settlement,settlement,n.a.,n.a.,n.a.,n.a.
2005,IND,2004,INC,PDI-P,2,1,1,settlement,1,1,,NA,2.394,,2.349 (2004),n.a.,Credit Suisse First Boston v. India,NA,3,1,1,2,CHE,,0,n.a.,n.a.,n.a.,n.a.,UNCITRAL,India-Switzerland BIT,Electric power concession,UTL,unknown,unknown,yes,settlement,settlement,n.a.,n.a.,n.a.,n.a.
2005,IND,2004,INC,PDI-P,2,1,1,settlement,1,1,,NA,2.394,,2.349 (2004),n.a.,ANZEF Ltd. V. India,NA,3,1,1,2,GBR,,0,n.a.,n.a.,n.a.,n.a.,UNCITRAL,India-United Kingdom BIT,Electric power concession,UTL,unknown,unknown,yes,settlement,settlement,n.a.,n.a.,n.a.,n.a.
2005,IND,2004,INC,PDI-P,2,1,1,settlement,1,1,,NA,2.394,,2.349 (2004),n.a.,Standard Chartered Bank v. India,NA,3,1,1,2,GBR,,0,n.a.,n.a.,n.a.,n.a.,UNCITRAL,India-United Kingdom BIT,Electric power concession,UTL,unknown,unknown,yes,settlement,settlement,n.a.,n.a.,n.a.,n.a.
2006,IND,2004,INC,PDI-P,2,1,1,settlement,1,1,,NA,2.439,,2.349 (2004),n.a.,ABN Amro NV v. India,NA,3,1,1,2,NLD,,0,n.a.,n.a.,n.a.,n.a.,UNCITRAL,India-Netherlands BIT,Electric power concession,UTL,unknown,unknown,yes,settlement,settlement,n.a.,n.a.,n.a.,n.a.
2014,KAZ,2011,Otan,Otan,2.934,1,0,settlement,1,1,,1,3.026,,NO (Nur Otan),ARB/11/2,Turkiye Petrolleri Anonim Ortakligi v. Republic of Kazakhstan,0,1,0,0,0,TUR,,0,n.a.,n.a.,n.a.,n.a.,ICSID,"Turkey-Kazakhstan BIT, Energy Charter Treaty",Oil and gas (exploration),OIL,unknown,unknown,yes,settlement,settlement,n.a.,n.a.,n.a.,n.a.
2004,KAZ,2002,Otan,Otan,3,1,0,settlement,1,1,,NA,3.021,,,ARB/02/11,Enrho St Limited v. Republic of Kazakhstan,NA,2,1,NA,1,CYM,,0,n.a.,n.a.,n.a.,n.a.,ICSID,Kazakhstan Investment Law (1994),Electric power concession,UTL,unknown,unknown,yes,settlement,settlement,n.a.,n.a.,n.a.,n.a.
2014,LAO,2012,LPRP,LPRP,2,1,1,settlement,1,1,,0,2.025,,2.019 (2016),ARB(AF)/12/6,Lao Holdings N.V. v. Lao People's Democratic Republic,1,3,1,1,2,NLD,,0,n.a.,n.a.,n.a.,n.a.,ICSID,Laos-Netherlands BIT,Tourism (resort),SER,Not less than US$400m,400,yes,settlement,settlement,n.a.,n.a.,n.a.,n.a.
2011,MKD,2009,VMRO-DPMNE,SDSM,2.25,1,0,settlement,1,1,,0,4.577,,,ARB/09/10,"EVN AG v. Macedonia, former Yugoslav Republic of",1,0,NA,NA,NA,AUT,,1,n.a.,n.a.,n.a.,n.a.,ICSID,"Austria-Macedonia BIT, Energy Charter Treaty",Electric power concession,UTL,unknown,unknown,yes,settlement,settlement,n.a.,n.a.,n.a.,n.a.
2006,MNG,2004,MPRP,MPRP,1,1,1,settlement,1,1,1 (2016),NA,1.312,,1.312 (2016),ARB/04/10,Alstom Power Italia SpA and Alstom SpA v. Republic of Mongolia,NA,0,NA,NA,NA,ITA,,0,n.a.,n.a.,n.a.,n.a.,ICSID,"Italy-Mongolia BIT, Energy Charter Treaty",Electric power concession (thermal),UTL,unknown,unknown,yes,settlement,settlement,n.a.,n.a.,n.a.,n.a.
1996,MYS,1994,UMNO,UMNO,2.6,1,1,settlement,1,1,,NA,2.603,,,ARB/94/1,Philippe Gruslin v. Malaysia,NA,0,NA,NA,NA,BELLUX,,0,n.a.,n.a.,n.a.,n.a.,ICSID,Belgium & Luxembourg-Malaysia BIT,Finance (securities),FIN,unknown,unknown,yes,settlement,settlement,n.a.,n.a.,n.a.,n.a.
2005,NER,2003,MNSD,MNSD,2,1,1,settlement,1,1,,NA,2.035,,,CONC/03/1,TG World Petroleum Limited v. Republic of Niger,NA,0,NA,NA,NA,CAN,,0,n.a.,n.a.,n.a.,n.a.,ICSID CR,Contract with host state,Oil and gas (exploration),OIL,unknown,unknown,yes,settlement,settlement,n.a.,n.a.,n.a.,n.a.
1996,POL,1996,SRP,SRP,1.714,1,1,settlement,1,1,1.714 (1996),NA,1.648,,1.648 (2001),n.a.,France Telecom v. Poland,NA,3,1,1,2,FRA,,0,n.a.,n.a.,n.a.,n.a.,UNCITRAL,France-Poland BIT,Telecommunications (mobile),TEL,Approximately US$500m,500,yes,settlement,settlement,n.a.,n.a.,n.a.,n.a.
1996,POL,1996,SRP,SRP,1.714,1,1,settlement,1,1,,NA,1.648,,1.648 (2001),n.a.,Ameritech v. Poland,NA,3,1,1,2,USA,,0,n.a.,n.a.,n.a.,n.a.,UNCITRAL,Poland-United States BIT,Telecommunications (mobile),TEL,Approximately US$500m,500,yes,settlement,settlement,n.a.,n.a.,n.a.,n.a.
2011,POL,1999,PO,SRP,1.714,1,0,settlement,1,1,1.714 (1996),NA,3.451,,,n.a.,Vivendi SA and Vivendi Telecom International SA v. Poland,NA,2,1,NA,1,FRA,,0,n.a.,n.a.,n.a.,n.a.,UNCITRAL,Contract with host state,Telecommunications (mobile),TEL,US$3b (and Respondent counterclaim of up to US$400m),3000,yes,settlement,settlement,n.a.,n.a.,n.a.,n.a.
